Year;Country;Affected People
2005;Cook Islands;1121
2007;Cook Islands;0
2009;Cook Islands;0
2010;Cook Islands;4443
2020;Cook Islands;0
2005;Fiji;0
2006;Fiji;60
2007;Fiji;12
2008;Fiji;804
2009;Fiji;12692
2010;Fiji;6644
2011;Fiji;344
2012;Fiji;37085
2013;Fiji;0
2014;Fiji;0
2015;Fiji;0
2016;Fiji;633584
2017;Fiji;0
2018;Fiji;155726
2019;Fiji;78045
2020;Fiji;235921
2021;Fiji;78030
2022;Fiji;1787
2007;French Polynesia;0
2008;Kiribati;85
2014;Kiribati;44
2015;Kiribati;2507
2016;Kiribati;0
2018;Kiribati;0
2019;Kiribati;3
2020;Kiribati;15
2021;Kiribati;333
2006;Marshall Islands;0
2008;Marshall Islands;96
2011;Marshall Islands;0
2013;Marshall Islands;0
2014;Marshall Islands;280
2015;Marshall Islands;0
2016;Marshall Islands;27452
2017;Marshall Islands;7029
2018;Marshall Islands;0
2019;Marshall Islands;35844
2020;Marshall Islands;56718
2021;Marshall Islands;0
2022;Marshall Islands;52914
2006;Micronesia (Federated States of);0
2008;Micronesia (Federated States of);0
2009;Micronesia (Federated States of);0
2011;Micronesia (Federated States of);0
2015;Micronesia (Federated States of);7600
2016;Micronesia (Federated States of);0
2017;Micronesia (Federated States of);0
2018;Micronesia (Federated States of);1266
2019;Micronesia (Federated States of);20732
2020;Micronesia (Federated States of);0
2021;Micronesia (Federated States of);15010
2019;Nauru;63
2020;Nauru;1133
2021;Nauru;4
2022;Nauru;5393
2009;New Caledonia;0
2011;New Caledonia;0
2017;New Caledonia;4
2018;New Caledonia;0
2019;New Caledonia;1
2020;New Caledonia;2
2012;Niue;0
2020;Niue;0
2009;Palau;0
2011;Palau;0
2012;Palau;1528
2015;Palau;0
2016;Palau;11009
2021;Palau;24220
2022;Palau;780
2005;Papua New Guinea;2
2006;Papua New Guinea;216
2007;Papua New Guinea;56284
2008;Papua New Guinea;36393
2009;Papua New Guinea;580
2010;Papua New Guinea;0
2011;Papua New Guinea;0
2012;Papua New Guinea;172
2013;Papua New Guinea;264
2014;Papua New Guinea;0
2015;Papua New Guinea;0
2019;Papua New Guinea;2100
2020;Papua New Guinea;3297
2005;Samoa;0
2006;Samoa;0
2008;Samoa;0
2009;Samoa;6332
2012;Samoa;0
2013;Samoa;0
2014;Samoa;0
2015;Samoa;0
2016;Samoa;0
2018;Samoa;383
2019;Samoa;5700
2020;Samoa;195
2021;Samoa;15
2022;Samoa;16607
2023;Samoa;138
2006;Solomon Islands;0
2007;Solomon Islands;21343
2008;Solomon Islands;0
2009;Solomon Islands;68
2010;Solomon Islands;1456
2011;Solomon Islands;36
2012;Solomon Islands;216
2013;Solomon Islands;7577
2014;Solomon Islands;14831
2015;Solomon Islands;185886
2016;Solomon Islands;60858
2017;Solomon Islands;51465
2018;Solomon Islands;194155
2019;Solomon Islands;1834
2020;Solomon Islands;2339
2021;Solomon Islands;240
2022;Solomon Islands;20080
2005;Tonga;0
2006;Tonga;0
2007;Tonga;0
2008;Tonga;0
2009;Tonga;7
2010;Tonga;0
2011;Tonga;345
2012;Tonga;0
2013;Tonga;0
2014;Tonga;4520
2015;Tonga;0
2016;Tonga;0
2017;Tonga;0
2018;Tonga;84311
2019;Tonga;640
2020;Tonga;68
2011;Tuvalu;0
2015;Tuvalu;0
2016;Tuvalu;1003
2017;Tuvalu;0
2018;Tuvalu;0
2019;Tuvalu;0
2020;Tuvalu;2266
2021;Tuvalu;6
2022;Tuvalu;7748
2005;Vanuatu;0
2006;Vanuatu;0
2007;Vanuatu;4
2008;Vanuatu;60
2009;Vanuatu;422
2010;Vanuatu;500
2011;Vanuatu;248
2012;Vanuatu;28
2013;Vanuatu;0
2014;Vanuatu;152
2015;Vanuatu;0
2017;Vanuatu;920
2018;Vanuatu;23286
2019;Vanuatu;18
2020;Vanuatu;246802
2021;Vanuatu;1400
