Reconstruction Year;Reconstruction Obs
1970,5;-56,83988
1971,5;-56,445915
1972,5;-53,820293
1973,5;-56,33513
1974,5;-58,32233
1975,5;-57,72208
1976,5;-54,343227
1977,5;-52,348737
1978,5;-56,2283
1979,5;-52,913226
1980,5;-48,424784
1981,5;-50,63775
1982,5;-47,363296
1983,5;-45,026876
1984,5;-43,395318
1985,5;-43,696985
1986,5;-43,439955
1987,5;-37,3481
1988,5;-38,365833
1989,5;-39,994508
1990,5;-36,50404
1991,5;-32,271422
1992,5;-28,333122
1993,5;-28,141676
1994,5;-26,463741
1995,5;-25,278205
1996,5;-24,582222
1997,5;-22,855612
1998,5;-22,416122
1999,5;-21,41392
2000,5;-17,60052
2001,5;-12,195747
2002,5;-7,808135
2003,5;-5,15767
2004,5;-2,57147
2005,5;0,103849
2006,5;1,97573
2007,5;2,997877
2008,5;4,410251
2009,5;9,444622
2010,5;10,346954
2011,5;11,721801
2012,5;21,45818
2013,5;24,849322
2014,5;28,153516
2015,5;36,938373
2016,5;42,197216
2017,5;42,65127
2018,5;44,943113
2019,5;52,757293
2020,5;54,328572
2021,5;54,944508
